1,Pattern Knit Convertible Skirt,1,45,redskirt.jpg,Add a little swing to your stride.,"Fluid blend of cotton and rayon-modal, with a hint of stretch. Easy pull-on styling Self-fabric waistband folds, scrunches or lies flat, you decideface.  Stripes are arranged in a flattering chevron pattern Falls to the knee You love the drape of cotton/modal skirts and dresses. And why not? They make your figure look terrific. This time, we've given the skirt a self-fabric waistband you can fold, scrunch or wear flat - for versatility and total comfort."
11,Fit 2 Linen Cotton Wide Leg Pants,3,70,noimage.png,A nautical nod.,"Crisp, light blend of linen and cotton Smooth-fitting contour waist Functional drawstring adjusts the fit Offset side pockets, patch pockets in back Fit 2: Sits slightly below the natural waist, wide legs have a bit of ease in the thigh We'll hem them for free. Everything about them is easy: from wide-leg silhouette to drawstring waist to cool blend of cotton and linen. The overall shape is comfortable and just slightly slouchy (in a most appealing way). So you can wear pants at the height of the summer - and still feel cool doing it. 53% linen/47% cotton."
2,Linen embroidered tie-back skirt,1,110,noimage.png,Linen fit to twirl.,"Light, airy linen fabric Pretty border embroidery Comfortable back-elastic waistband Gored styling gives it a pretty sweep without adding bulk Self-fabric sash is included Soft full lining Everything about it says ""summer."" The sweep, the airy quality, the way it'll make you feel. Made of soft linen, with an easy back-elastic waist and a self-fabric sash. And totally twirl worthy."
3,French terry skirt,1,60,noimage.png,Wear-anywhere comfort.,"All-cotton slub jersey has thick-and-thin texture Flattering A-line shape Rib-knit, drawstring waistband feels comfortable, fits perfectly Top-stitched front pockets Falls to the knee It's our awesome slub French terry, this time in a skirt. The A-line shape does great things for any figure. And the drawstring waist makes it oh, so comfortable. You'll wear it to work, on weekends - maybe even as a cover-up! 69% cotton/31% rayon."
4,Denim skirt,1,65,noimage.png,A dressed-up alternative to jeans.,"Easy stretch denim Classic five-pocket styling Back vent adds a bit of ease Modern, above-knee length Love denim, but need a slightly dressier option? Our jean skirt is it! The comfy stretch denim you love in our jeans, in a feminine, five-pocket style you'll wear everywhere. 99% cotton/1% spandex."
5,Short Sleeve Tipped Collar Stretch Mesh Polo Dress,2,50,noimage.png,Throw it on and go.,"Soft cotton pique with shape-keeping stretch A tipped collar and cuffs adds just a hint of interest Classic rib-knit collar and sleeve bands Dress has a slight A-line shape Small chest pocket Tennis tail hem is slightly longer in back; side vents add ease Falls to above the knee Dress it up or down, wear it anywhere. Classic polo styling with all the accents you'd expect (like a rib-knit collar) and a few surprises (like the accent pocket and tennis tail hem). 97% cotton/3% spandex."
6,Sleeveless poplin dress,2,70,noimage.png,Cool and classic.,"Crisp-yet-soft poplin has a hint of stretch Button front lets you dress without mussing your hair Princess seams give it shape Flattering flared skirt Self-fabric belt is included White dress is fully lined; other colors unlined Falls to just below the knee It's a dress that'll sail right on through the day - layered under a sweater on a cool morning, by itself in the warmth of the afternoon. And it?ll flatter you all the way with its princess silhouette. Best of all, you know this classic dress will never go out of style. 97% cotton/3% spandex."
7,Sleeveless drapey ponte sheath dress,2,80,noimage.png,Dress perfection.,"Fluid ponte knit drapes softly over your curves Princess seams give it shape. Tiered flare skirt is flattering and forgiving. Falls to just above the knee. The beauty of a ponte dress is that it will flatter in every season. Wear it solo when it's warm (sleeveless styling's a natural for that), then layer it under a jacket or sweater for cool-weather wear. 73% polyester/21% rayon/6% spandex."
8,Smockback dress,2,70,noimage.png,Fun and flirty.,"Soft blend of linen and cotton Youthful tiered silhouette Elasticized smocking snugs the bodice for a smooth, comfortable fit Handy side pockets Falls to mid calf The tiered silhouette definitely has a boho vibe to it. And yet, it managed not to fall over into hippie territory. The fabric's a blend of linen and cotton - cool, but not as likely to rumple as either fiber would be alone. The smocking's in the back, where it snugs the dress just a tad so it fits smoothly all around. Thoughtful touches include a full lining, so you won't have to search for the right slip. 53% linen/47% cotton."
9,Starfish stretch crop pants,3,50,noimage.png,"Cool, comfortable - and slimming!","Soft cotton jersey with stretch for ease. Cropped style is right for warmer weather Wide elastic waistband lies flat and smooth Invisible zip pocket at the waist is just the size of a credit card They just might be the most refined knit crops you've ever worn - not to mention the most comfortable! Soft, shape-keeping fabric actually makes you look slimmer. A wide, full-elastic waistband is designed to lie flat and smooth. And there's a zip pocket just right for carrying a credit card or ID. 89% cotton/11% spandex."
